OG Model Q12 Q21 Model_conf Parameter_pval Tree_size
OG0000108 ER 0.00100681977096912 NA 0.822916666666667 0.390574673802921 21
OG0000109 ER-white NA NA 0.71 NA 15
OG0000110 ER 0.00129361615632959 NA 0.755102040816326 0.387830792321449 22
OG0000111 ER 0.000230837769850147 NA 0.863013698630137 0.496267809035822 41
OG0000112 ER 0.00242178004168941 NA 0.78 0.336633663366336 33
OG0000113 ER-white NA NA 0.74 NA 27
OG0000114 ER-white NA NA 0.693333333333333 NA 41
OG0000115 ER 0.000961243650167908 NA 0.89 0.321113677950051 30
OG0000116 ER-white NA NA 0.86734693877551 NA 22
OG0000117 ER-white NA NA 0.784810126582278 NA 36
OG0000118 ER-white NA NA 0.666666666666667 NA 7
OG0000119 ER 0.000145411141614869 NA 0.847222222222222 0.566707619094534 43
OG0000120 ARD 1.44523446300925e-17 0.00127231615786221 0.212765957446809 0.337652483365258 37
OG0000122 ER 7.11468590708275e-05 NA 0.885714285714286 0.609288862708322 42
OG0000123 ER 0.000956420134966267 NA 0.882978723404255 0.423352736640794 18
OG0000124 ER-white NA NA 0.868686868686869 NA 43
OG0000125 ER-white NA NA 0.61 NA 18
OG0000126 ER 0.0007178254820969 NA 0.61038961038961 0.462846001044215 10
OG0000127 ER 0.00139784012695363 NA 0.76 0.158415841584158 37
OG0000129 ER 0.000403062367090535 NA 0.761363636363636 0.418962491173102 34
OG0000130 ER 0.00153985799603852 NA 0.602409638554217 0.909296602396193 6
OG0000132 ER-white NA NA 0.6 NA 24
OG0000133 ER 0.000609261210197339 NA 0.76530612244898 0.401892715527005 27
OG0000134 ER 0.000459697028836217 NA 0.74390243902439 0.584015583642576 12
OG0000136 ER 0.00432987687989959 NA 0.76 0.376237623762376 26
OG0000137 ER 0.000157250085336842 NA 0.757575757575758 0.944570484588821 38
OG0000138 ER 0.000385882891950931 NA 0.854166666666667 0.419722083696254 35
OG0000139 ER 0.00170981496903333 NA 0.83 0.198019801980198 28
OG0000140 ER-white NA NA 0.49 NA 12
OG0000141 ER-white NA NA 0.69 NA 40
OG0000142 ER 0.000414581422438485 NA 0.813953488372093 0.474564701251822 20
OG0000143 ER 0.00151166707146173 NA 0.79 0.138613861386138 30
OG0000144 ER 0.00095114856774747 NA 0.77319587628866 0.224489795918367 35
OG0000145 ER-white NA NA 0.87 NA 39
OG0000146 ARD 0.00118053259286198 0.00367261064573599 0.23 0.871287128712871 34
OG0000147 ER-white NA NA 0.94 NA 35
OG0000148 ER-white NA NA 0.67 NA 23
OG0000149 ER-white NA NA 0.7 NA 25
OG0000150 ARD 0.00394805892658468 0.0285353744546103 0.175257731958763 0.224489795918367 37
OG0000151 ER 0.000438315599899321 NA 0.840425531914894 0.311832825745805 42
OG0000152 ER 7.43031544759506e-05 NA 0.694444444444444 0.736046275863864 42
OG0000153 ER-white NA NA 0.779220779220779 NA 41
OG0000154 ER 0.000634446630558399 NA 0.7625 0.383346539856785 18
