OG Model SigSQ Parameter Model_confidence Parameter_pval Tree_size Mean_trait z0
OG0005059 OU 0.0327472446419933 0.00532202473721099 0.83 0.732673267326733 40 4.37386011524183 4.35612052330803
OG0005060 OU 0.0298713482397339 0.00863280258787085 0.81 0.910891089108911 35 3.35881245891641 3.40307469792101
OG0005061 Brownian 0.00635639879694496 NA 0.87 0.811881188118812 38 3.23291432446212 2.97859366015888
OG0005062 OU 0.0216290949673017 0.00553199854588243 0.93 0.910891089108911 42 3.79376275473166 3.57138778724063
OG0005063 OU 0.0144411486237153 0.0037500631563139 0.95 0.831683168316832 39 3.97378092007345 3.90884023771825
OG0005064 OU 0.0519778964268508 0.0103602580954076 0.79 0.930693069306931 38 3.42941760851347 3.52936696536657
OG0005065 Brownian 0.00414914388975511 NA 0.84 0.97029702970297 38 4.29196169049778 3.95727662423657
OG0005066 OU 0.00961071041319565 0.00206386382967455 0.85 0.831683168316832 35 4.86898805325092 5.08389503173978
OG0005067 OU 0.0169928811117643 0.00324089005513529 0.98 0.871287128712871 41 3.47495241825898 3.44355954417314
OG0005068 OU 0.0506995110385409 0.0137722946254856 0.56 0.831683168316832 41 4.76378778764763 4.84954136250183
OG0005069 OU 0.011374280504613 0.00434873418016249 0.96 0.772277227722772 40 3.52401486493959 3.39736069203322
OG0005070 OU 0.0178089344618675 0.00335369944587943 0.95 0.732673267326733 41 4.87347336156391 4.40742692430225
OG0005071 OU 0.00670694238794019 0.00160955144393963 0.78 0.693069306930693 40 4.58299301627303 4.6618862997534
OG0005072 OU 0.00990509770037449 0.00183527593013616 0.86 0.712871287128713 38 2.90073374674688 2.81699828969138
OG0005073 OU 0.13928713430096 0.00808043757837617 0.7 0.831683168316832 33 1.6460104301998 2.39736116169704
OG0005074 OU 0.0253780592764069 0.00374508396029466 0.96 0.851485148514851 38 4.72924590059732 4.64976743566592
OG0005075 Brownian 0.00634220852167894 NA 0.81 0.99009900990099 39 3.99142150595677 3.92782182578188
OG0005076 Brownian 0.00468516735589956 NA 0.91 0.693069306930693 41 5.29210794011279 5.52175469217325
OG0005077 OU 0.0315698331597227 0.00802825679305821 0.38 0.831683168316832 27 3.40581832431871 3.73833851141178
OG0005078 Brownian 0.0101683894204445 NA 0.9 0.891089108910891 30 3.5033181438701 1.97289746701358
OG0005079 OU 0.0141356263363946 0.00153848231620214 0.77 0.831683168316832 43 3.29664887307357 3.16055250073428
OG0005080 OU 0.0107120013868407 0.0017961160075786 0.83 0.712871287128713 37 3.40771056964395 3.09677091850578
OG0005081 White 2.68976435823159 NA 0.9 0.0198019801980192 40 4.01755593854386 4.03669539912176
OG0005082 OU 0.0369793593095252 0.00480394570457455 0.92 0.95049504950495 39 2.83281028112437 2.95810018149219
OG0005083 OU 0.0207486177152482 0.00618788811913241 0.9 0.851485148514851 38 4.28241261899825 4.28098626252237
OG0005084 OU 0.0176152467746793 0.00261977046750361 0.95 0.752475247524752 39 2.35244678479043 2.53637333398228
OG0005085 OU 0.0324840642697889 0.00348721981459879 0.97 0.871287128712871 41 3.67138858473165 3.7661996478644
OG0005086 OU 0.0137420821224732 0.00298311415491557 0.95 0.693069306930693 41 3.6034104709177 3.77426355999646
OG0005087 Brownian 0.0131333240196297 NA 0.84 0.910891089108911 32 1.22485259075555 2.31136652012133
OG0005088 OU 0.0186041665798479 0.003440567948718 0.99 0.772277227722772 39 3.88587955534456 4.16663393623891
OG0005089 OU 0.0124079345252601 0.00477442967361117 0.97 0.811881188118812 39 3.20262714189005 3.29333934556329
OG0005090 OU 0.0118050030976158 0.00345173454884371 0.95 0.910891089108911 41 4.51480580359316 4.37695352132803
OG0005091 OU 0.0255958045805687 0.00203787798418342 0.88 0.772277227722772 41 5.35144867044455 5.27787988279025
OG0005092 OU 0.0171656566913985 0.00600215397403374 0.89 0.792079207920792 38 4.33089522021978 4.241880579671
OG0005093 Brownian 0.00529550910035223 NA 0.85 0.831683168316832 41 3.36485684440674 2.88823524694648
OG0005094 OU 0.039329508033732 0.00996473830399164 0.73 0.752475247524752 38 3.49874772064803 3.5184682081481
OG0005095 White 2.16887863365639 NA 0.93 0.0198019801980192 40 3.94537326040858 3.96000973904468
OG0005096 OU 0.0179491069152511 0.00320033069540368 0.91 0.772277227722772 40 4.00905797054554 3.69328891211578
OG0005097 Brownian 0.00344451491532815 NA 0.81 0.97029702970297 41 3.79104932953416 3.47593790639195
OG0005098 OU 0.0210737567059216 0.00389009347365972 0.9 0.891089108910891 39 3.6103373376875 3.45292836570763
OG0005099 Brownian 0.00579487218966993 NA 0.84 0.95049504950495 38 3.07450167627367 2.0732776999253
OG0005100 OU 0.0380921127336182 0.00510966272924903 0.95 0.811881188118812 35 4.06566640689409 4.01021215592008
OG0005101 OU 0.0206412935120369 0.00145840946135983 0.54 0.811881188118812 28 1.60778703533606 1.78519717161857
OG0005102 OU 0.0348909151783785 0.00617347114523746 0.94 0.891089108910891 37 3.81289772286677 3.59443643887515
OG0005103 Brownian 0.00770454853955809 NA 0.81 0.811881188118812 39 3.20768653594653 2.36598002010613
OG0005104 White 7.6613994083506 NA 0.96 0.0198019801980192 17 -1.06402321328201 -0.964893626681754
OG0005105 OU 0.0104948545838398 0.00308907499939762 0.94 0.97029702970297 40 3.86134858307192 3.38415513751894
