OG Model SigSQ Parameter Model_confidence Parameter_pval Tree_size Mean_trait z0
OG0008723 Brownian 0.00473412166786939 NA 0.8 0.613861386138614 11 3.42433421252636 2.2955912643507
OG0009644 White 0.227731291318401 NA 1 0.0198019801980192 NA 4.01364739046506 4.03204800270715
OG0009885 Brownian 0.00451529291268959 NA 0.81 0.633663366336634 10 6.65920647577555 7.29415588742072
OG Model SigSQ Parameter Model_confidence Parameter_pval Tree_size Mean_trait z0
OG0000002 White 3.11144440685928 NA 0.9 0.0198019801980192 NA -1.9502110962517 -1.80560828625748
OG0000006 White 3.81601930774297 NA 0.91 0.0198019801980192 NA 0.409460870920897 0.479569852059568
OG0000007 Brownian 0.00851476492272644 NA 0.91 0.831683168316832 20 0.785992721292509 1.36063325152451
OG0000010 White 3.24580690996916 NA 0.97 0.0198019801980192 NA -1.73678207094448 -1.70472893055964
OG0000011 White 3.62900366538921 NA 0.91 0.0198019801980192 NA -1.77741415874101 -1.6027493702737
OG0000013 White 3.16956236984533 NA 0.93 0.0198019801980192 NA -0.994151862028314 -0.846547550305904
OG0000014 Brownian 0.0013554605425521 NA 0.8 0.772277227722772 14 0.104415949014259 0.205432756083586
OG0000015 White 3.33472204693928 NA 0.91 0.0198019801980192 NA -1.45766453326138 -1.41939056038019
OG0000016 White 3.03965346309639 NA 0.91 0.0198019801980192 NA -0.591979937180559 -0.591485807739349
OG0000018 Brownian 0.00851094318800412 NA 0.91 0.831683168316832 17 -0.249776131138142 0.205286259671307
OG0000019 OU 0.028611704480819 0.00314552158279405 0.56 0.693069306930693 20 -1.12845115131042 -0.207211802733765
OG0000020 OU 0.0509695563660327 0.0120883455999216 0.51 0.910891089108911 30 1.30263417182582 1.32834801696895
OG0000021 White 4.93778644641787 NA 0.95 0.0198019801980192 NA -1.03995232693967 -0.970735932466413
OG0000023 Brownian 0.00563232216673973 NA 0.7 0.594059405940594 10 -0.482039188878812 -0.604386192392945
OG0000024 White 3.9085113793673 NA 0.93 0.0198019801980192 NA -1.32390659967861 -1.24875080866281
OG0000026 White 3.59892255282095 NA 0.94 0.0198019801980192 NA 2.00144701934151 2.11081939083586
OG0000027 White 12.4601100596008 NA 0.98 0.0198019801980192 NA 3.87515609729971 4.04422498833972
OG0000029 White 4.3114464114702 NA 0.95 0.0198019801980192 NA 2.42338058019087 2.65575558121037
OG0000030 OU 0.0270853764162161 0.00355053717586416 0.3 0.99009900990099 14 -1.77585534390191 -0.766657490734474
OG0000031 OU 0.122514452848529 0.010206521180667 0.35 0.910891089108911 17 1.10284021552822 0.57646987603413
OG0000034 White 4.74033271956411 NA 0.76 0.0198019801980192 NA 0.622920634300502 0.803387171894067
OG0000035 White 2.39620233460411 NA 0.89 0.039603960396039 NA 1.08595764082181 1.09189376253335
